CRUTEM4 716200 : KINGSTON temperature,,,,,,,,,,,,,,,,,
Lat:    44.20 (N)  Lon:   -76.60 (W)  Elevation (m):    93.00,,,,,,,,,,,,,,,,,
Start and End Years, and First Year Used (earlier years not considered reliable),,,,,,,,,,,,,,,,
  1872  2016  1872,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Please cite:,,,,,,,,,,,,,,,,,
Osborn & Jones (2014) Earth System Science Data (doi:10.5194/essd-6-61-2014),,,,,,,,,,,,,,,,,
Jones et al. (2012) J. Geophys. Res. (doi:10.1029/2011JD017139),,,,,,,,,,,,,,,,,
Missing code: -99.99,,,,,,,,,,,,,,,,,
Each seasonal mean requires all 3 months to have data,,,,,,,,,,,,,,,,,
Each annual mean requires all 12 months to have data,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Year,    Jan,    Feb,    Mar,    Apr,    May,    Jun,    Jul,    Aug,    Sep,    Oct,    Nov,    Dec,    DJF,    MAM,    JJA,    SON, Annual
1936,-9.1,-11.1,-0.5,3.6,11.5,16.8,20.2,19,15.7,8.4,0,-3.2,-9.63,4.87,18.67,8.03,5.94
1937,-2.3,-4.3,-4.4,5.4,11.7,17.3,21,21.5,14.8,7.9,3.4,-5,-3.27,4.23,19.93,8.7,7.25
1938,-8.6,-5.2,-1.1,5.5,12,17.3,20.3,21.3,14.1,10,3.8,-2.6,-6.27,5.47,19.63,9.3,7.23
1939,-8.3,-8.1,-4.3,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-6.33,-99.99,-99.99,-99.99,-99.99
1940,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
1941,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
1942,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
1943,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
1944,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
1945,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,9.1,2.8,-6.9,-99.99,-99.99,-99.99,-99.99,-99.99
1946,-7,-10,3.9,5.6,11.4,16.6,21,18.7,16.5,10.2,4.2,-3.8,-7.97,6.97,18.77,10.3,7.27
1947,-6.5,-8.3,-2.2,4.4,10.5,17.8,21.1,22,16.1,12.7,1.4,-6.8,-6.2,4.23,20.3,10.07,6.85
1948,-11.7,-9,-2.2,7.1,10.9,16.9,20.5,20.6,17.5,8.5,6.7,-2,-9.17,5.27,19.33,10.9,6.98
1949,-5.3,-4.7,-2,5.9,12.2,20.4,22.6,21.9,14,11.2,0.4,-3,-4,5.37,21.63,8.53,7.8
1950,-3.7,-8.6,-5.4,3.4,12.1,16.4,19.7,19.8,13,9.6,3.1,-5.4,-5.1,3.37,18.63,8.57,6.17
1951,-6.4,-6.5,-0.1,6.4,12.9,16.9,20.2,18.8,15.2,9.9,0.4,-4.2,-6.1,6.4,18.63,8.5,6.96
1952,-6.8,-4.9,-1.7,7.9,11.2,18.3,22.3,20.4,16.3,7.6,4.8,-1.9,-5.3,5.8,20.33,9.57,7.79
1953,-4.2,-4.3,0.9,5.6,12.7,17.9,21.6,19.5,15.4,9.6,5.6,-0.4,-3.47,6.4,19.67,10.2,8.32
1954,-10.6,-2.3,-1.5,6.6,12.1,18.3,20.6,19.6,15,11.7,4,-4.9,-4.43,5.73,19.5,10.23,7.38
1955,-9.4,-6.5,-99.99,-99.99,13.9,19.7,22.8,22.8,14.7,10.8,2.1,-7.6,-6.93,-99.99,21.77,9.2,-99.99
1956,-7.1,-5.2,-4.3,4.7,9.8,18,19.1,19.6,13.8,10.1,3.4,-3.2,-6.63,3.4,18.9,9.1,6.56
1957,-10.7,-3.5,0.6,7.7,12.4,19.2,21.4,19.3,18.2,8.7,3.9,-1.2,-5.8,6.9,19.97,10.27,8
1958,-99.99,-9,1.2,7.8,11.4,15.4,21.5,21,16.5,10.1,4.4,-8.8,-99.99,6.8,19.3,10.33,-99.99
1959,-8.8,-9.5,-2.7,6.8,13.9,18.6,21.9,23,17.9,9.4,1.8,-3,-9.03,6,21.17,9.7,7.44
1960,-7.6,-5.3,-5.7,6.8,15,18,19.8,20.5,16.7,9.7,5.4,-5.2,-5.3,5.37,19.43,10.6,7.34
